rgID,ugaID,is.SCR,is.rep,week,year,snare,utmSnare,fqfile,knownSEX,sampSOURCE,region
UGA_173101_P016_WD07,105-23,TRUE,FALSE,3,2023,HS 068,268186x3591620,RAPiD-Genomics_F534_UGA_173101_P016_WD07_i5-504_i7-139_S14877_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WD08,131-23,TRUE,FALSE,5,2023,HS 065,269178x3589726,RAPiD-Genomics_F534_UGA_173101_P016_WD08_i5-504_i7-140_S14878_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WD09,464-24,TRUE,FALSE,4,2024,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P016_WD09_i5-504_i7-141_S14879_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WD10,32-SGA,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WD10_i5-504_i7-142_S14880_L003_R1_001.fastq,M,Harvest,SGA
UGA_173101_P016_WD11,223-23,TRUE,FALSE,6,2023,HS 025,265276x3591787,RAPiD-Genomics_F534_UGA_173101_P016_WD11_i5-504_i7-143_S14881_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WD12,302-24,TRUE,FALSE,4,2024,HS 047,259836x3598339,RAPiD-Genomics_F534_UGA_173101_P016_WD12_i5-504_i7-144_S14882_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WE01,445-23,TRUE,FALSE,5,2023,HS 030,260871x3593893,RAPiD-Genomics_F534_UGA_173101_P016_WE01_i5-504_i7-145_S14883_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WE02,81-NGA,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WE02_i5-504_i7-146_S14981_L003_R1_001.fastq,M,Euthanized,NGA
UGA_173101_P016_WE03,149-24,TRUE,FALSE,6,2024,HS 096,271378x3600579,RAPiD-Genomics_F534_UGA_173101_P016_WE03_i5-504_i7-147_S14982_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WE04,166-24,TRUE,TRUE,2,2024,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P016_WE04_i5-504_i7-148_S14885_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WE05,51-23,TRUE,FALSE,7,2023,HS 130,264559x3611461,RAPiD-Genomics_F534_UGA_173101_P016_WE05_i5-504_i7-149_S14886_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WE06,309-24,TRUE,FALSE,6,2024,HS 027,264464x3592495,RAPiD-Genomics_F534_UGA_173101_P016_WE06_i5-504_i7-150_S14887_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WE07,22-23,TRUE,FALSE,7,2023,HS 031,261769x3593353,RAPiD-Genomics_F534_UGA_173101_P016_WE07_i5-504_i7-151_S14888_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WE08,194-24,TRUE,FALSE,2,2024,HS 014,261409x3586557,RAPiD-Genomics_F534_UGA_173101_P016_WE08_i5-504_i7-152_S14889_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WE09,83-RK,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WE09_i5-504_i7-153_S14890_L003_R1_001.fastq,M,Roadkill,CGA
UGA_173101_P016_WE10,3-C,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WE10_i5-504_i7-154_S14891_L003_R1_001.fastq,M,Capture,CGA
UGA_173101_P016_WE11,43-C,FALSE,FALSE,NA,2024,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WE11_i5-504_i7-155_S14892_L003_R1_001.fastq,M,Capture,CGA
UGA_173101_P016_WE12,63-NGA,FALSE,FALSE,NA,2022,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WE12_i5-504_i7-156_S14893_L003_R1_001.fastq,F,Translocated,NGA
UGA_173101_P016_WF01,338-23,TRUE,FALSE,7,2023,HS 029,259736x3594236,RAPiD-Genomics_F534_UGA_173101_P016_WF01_i5-504_i7-157_S14894_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WF02,253-23,TRUE,FALSE,6,2023,HS 032,263672x3593292,RAPiD-Genomics_F534_UGA_173101_P016_WF02_i5-504_i7-158_S14895_L003_R1_001.fastq,,Hair Snare,CGA
UGA_173101_P016_WF03,44-SGA,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WF03_i5-504_i7-159_S14896_L003_R1_001.fastq,F,Harvest,SGA
UGA_173101_P016_WF04,75-NGA,FALSE,FALSE,NA,2022,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WF04_i5-504_i7-160_S14897_L003_R1_001.fastq,F,Capture,NGA
UGA_173101_P016_WF05,78-NGA,FALSE,FALSE,NA,2022,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WF05_i5-504_i7-161_S14898_L003_R1_001.fastq,F,Euthanized,NGA
UGA_173101_P016_WF06,26-C,FALSE,FALSE,NA,2023,NA,NA,RAPiD-Genomics_F534_UGA_173101_P016_WF06_i5-504_i7-162_S14899_L003_R1_001.fastq,F,Capture,CGA
UGA_173101_P016_WF07,496-24,TRUE,FALSE,3,2024,HS 017,260417x3588089,RAPiD-Genomics_F534_UGA_173101_P016_WF07_i5-504_i7-163_S14900_L003_R1_001.fastq,,Hair Snare,CGA
