extID,ugaID,is.SCR,is.rep,week,year,snare,utmSnare,fqfile,knownSEX,sampSOURCE,region,nSNPgt,vcfID,FILT
UGA_173101_P023_WF03,115-24,TRUE,FALSE,4,2024,HS 041,258115x3597270,RAPiD-Genomics_F566_UGA_173101_P023_WF03_i5-1099_i7-79_S7741_L003_R1_001.fastq,,Hair Snare,CGA,1240,UGA_173101_P023_WF03,FALSE
UGA_173101_P023_WF04,250-23,TRUE,FALSE,5,2023,HS 066,268064x3590555,RAPiD-Genomics_F566_UGA_173101_P023_WF04_i5-1099_i7-45_S7742_L003_R1_001.fastq,,Hair Snare,CGA,845,UGA_173101_P023_WF04,FALSE
UGA_173101_P023_WF05,333-24,TRUE,FALSE,3,2024,HS 017,260417x3588089,RAPiD-Genomics_F566_UGA_173101_P023_WF05_i5-1099_i7-92_S7743_L003_R1_001.fastq,,Hair Snare,CGA,1082,UGA_173101_P023_WF05,FALSE
UGA_173101_P023_WF06,42-23,TRUE,FALSE,3,2023,HS 044,264092x3597212,RAPiD-Genomics_F566_UGA_173101_P023_WF06_i5-1099_i7-60_S7744_L003_R1_001.fastq,,Hair Snare,CGA,1241,UGA_173101_P023_WF06,FALSE
UGA_173101_P023_WF07,402-23,TRUE,FALSE,6,2023,HS 075,269338x3595713,RAPiD-Genomics_F566_UGA_173101_P023_WF07_i5-1099_i7-33_S7745_L003_R1_001.fastq,,Hair Snare,CGA,1176,UGA_173101_P023_WF07,FALSE
UGA_173101_P023_WF08,488-23,TRUE,FALSE,6,2023,HS 051,260705x3599596,RAPiD-Genomics_F566_UGA_173101_P023_WF08_i5-1099_i7-53_S7746_L003_R1_001.fastq,,Hair Snare,CGA,262,UGA_173101_P023_WF08,FALSE
UGA_173101_P023_WF09,368-24,TRUE,FALSE,7,2024,HS 001,248187x3586614,RAPiD-Genomics_F566_UGA_173101_P023_WF09_i5-1099_i7-46_S7747_L003_R1_001.fastq,,Hair Snare,CGA,44,UGA_173101_P023_WF09,TRUE
UGA_173101_P023_WF10,414-24,TRUE,FALSE,1,2024,HS 025,265276x3591787,RAPiD-Genomics_F566_UGA_173101_P023_WF10_i5-1099_i7-26_S7748_L003_R1_001.fastq,,Hair Snare,CGA,200,UGA_173101_P023_WF10,FALSE
UGA_173101_P023_WF11,174-24,TRUE,FALSE,3,2024,HS 025,265276x3591787,RAPiD-Genomics_F566_UGA_173101_P023_WF11_i5-1099_i7-51_S7749_L003_R1_001.fastq,,Hair Snare,CGA,564,UGA_173101_P023_WF11,FALSE
UGA_173101_P023_WF12,2-23,TRUE,FALSE,3,2023,HS 042,259530x3597317,RAPiD-Genomics_F566_UGA_173101_P023_WF12_i5-1099_i7-66_S7750_L003_R1_001.fastq,,Hair Snare,CGA,933,UGA_173101_P023_WF12,FALSE
UGA_173101_P023_WG01,149-23,TRUE,FALSE,3,2023,HS 021,264713x3588839,RAPiD-Genomics_F566_UGA_173101_P023_WG01_i5-1099_i7-84_S7751_L003_R1_001.fastq,,Hair Snare,CGA,320,UGA_173101_P023_WG01,FALSE
UGA_173101_P023_WG02,341-23,TRUE,FALSE,7,2023,HS 032,263672x3593292,RAPiD-Genomics_F566_UGA_173101_P023_WG02_i5-1099_i7-12_S7752_L003_R1_001.fastq,,Hair Snare,CGA,152,UGA_173101_P023_WG02,FALSE
UGA_173101_P023_WG03,326-24,TRUE,FALSE,4,2024,HS 001,248187x3586614,RAPiD-Genomics_F566_UGA_173101_P023_WG03_i5-1099_i7-22_S7753_L003_R1_001.fastq,,Hair Snare,CGA,564,UGA_173101_P023_WG03,FALSE
UGA_173101_P023_WG04,136-23,TRUE,FALSE,6,2023,HS 025,265276x3591787,RAPiD-Genomics_F566_UGA_173101_P023_WG04_i5-1099_i7-10_S7754_L003_R1_001.fastq,,Hair Snare,CGA,1280,UGA_173101_P023_WG04,FALSE
UGA_173101_P023_WG05,88-24,TRUE,FALSE,5,2024,HS 071,266900x3593042,RAPiD-Genomics_F566_UGA_173101_P023_WG05_i5-1099_i7-69_S7755_L003_R1_001.fastq,,Hair Snare,CGA,1267,UGA_173101_P023_WG05,FALSE
GTseek_024_384i5_001_P098.001_5-23,5-23,TRUE,FALSE,6,2023,HS 012,258412x3586648,NA,NA,Hair Sample,CGA,104,GTS_5-23,FALSE
GTseek_024_384i5_002_P098.003_928-23,928-23,TRUE,FALSE,4,2023,HS 071,266900x3593042,NA,NA,Hair Sample,CGA,NA,GTS_928-23,TRUE
GTseek_024_384i5_003_P098.001_65-23,65-23,TRUE,FALSE,7,2023,HS 009,259209x3585507,NA,NA,Hair Sample,CGA,NA,GTS_65-23,TRUE
GTseek_024_384i5_004_P098.003_929-23,929-23,TRUE,FALSE,5,2023,HS 025,265276x3591787,NA,NA,Hair Sample,CGA,NA,GTS_929-23,TRUE
GTseek_024_384i5_005_P098.001_82-23,82-23,TRUE,FALSE,5,2023,HS 005,252875x3588670,NA,NA,Hair Sample,CGA,NA,GTS_82-23,TRUE
GTseek_024_384i5_006_P098.003_930-23,930-23,TRUE,TRUE,7,2023,HS 028,258399x3594245,NA,NA,Hair Sample,CGA,122,GTS_930-23,FALSE
GTseek_024_384i5_007_P098.001_174-23,174-23,TRUE,FALSE,3,2023,HS 072,266197x3594132,NA,NA,Hair Sample,CGA,NA,GTS_174-23,TRUE
GTseek_024_384i5_008_P098.003_931-23,931-23,TRUE,FALSE,7,2023,HS 032,263672x3593292,NA,NA,Hair Sample,CGA,121,GTS_931-23,FALSE
GTseek_024_384i5_009_P098.001_258-23,258-23,TRUE,FALSE,3,2023,HS 072,266197x3594132,NA,NA,Hair Sample,CGA,47,GTS_258-23,TRUE
GTseek_024_384i5_010_P098.003_932-23,932-23,TRUE,FALSE,4,2023,HS 116,269531x3605091,NA,NA,Hair Sample,CGA,123,GTS_932-23,FALSE
GTseek_024_384i5_011_P098.001_451-23,451-23,TRUE,FALSE,1,2023,HS 008,256165x3589588,NA,NA,Hair Sample,CGA,NA,GTS_451-23,TRUE
GTseek_024_384i5_012_P098.003_933-23,933-23,TRUE,FALSE,3,2023,HS 101,275317x3599324,NA,NA,Hair Sample,CGA,123,GTS_933-23,FALSE
GTseek_024_384i5_013_P098.001_606-23,606-23,TRUE,FALSE,3,2023,HS 068,268186x3591620,NA,NA,Hair Sample,CGA,118,GTS_606-23,FALSE
GTseek_024_384i5_014_P098.003_936-23,936-23,TRUE,FALSE,6,2023,HS 032,263672x3593292,NA,NA,Hair Sample,CGA,121,GTS_936-23,FALSE
GTseek_024_384i5_015_P098.001_609-23,609-23,TRUE,FALSE,4,2023,HS 101,275317x3599324,NA,NA,Hair Sample,CGA,NA,GTS_609-23,TRUE
GTseek_024_384i5_016_P098.003_930-23R,930-23R,TRUE,TRUE,7,2023,HS 028,258399x3594245,NA,NA,Hair Sample,CGA,123,GTS_930-23R,FALSE
GTseek_024_384i5_017_P098.002_751-23,751-23,TRUE,FALSE,4,2023,HS 008,256165x3589588,NA,NA,Hair Sample,CGA,122,GTS_751-23,FALSE
GTseek_024_384i5_018_P098.004_559-24,559-24,TRUE,FALSE,3,2024,HS 101,275317x3599324,NA,NA,Hair Sample,CGA,117,GTS_559-24,FALSE
GTseek_024_384i5_019_P098.002_752-23,752-23,TRUE,FALSE,6,2023,HS 101,275317x3599324,NA,NA,Hair Sample,CGA,122,GTS_752-23,FALSE
GTseek_024_384i5_020_P098.004_562-24,562-24,TRUE,FALSE,5,2024,HS 046,258973x3598847,NA,NA,Hair Sample,CGA,121,GTS_562-24,FALSE
